appName,link,tags
Age of Wonders 4,https://store.steampowered.com/app/1669000/Age_of_Wonders_4,"Strategy,4X,Fantasy,Tactical RPG,Atmospheric,Colorful,Magic,Diplomacy,Character Customization,PvP,War,Grand Strategy,Hex Grid,Moddable,RPG,PvE,Exploration,Top-Down,Lore-Rich,Immersive Sim"
The Forest,https://store.steampowered.com/app/242760/The_Forest,"Open World Survival Craft,Survival,Open World,Horror,Crafting,Adventure,Building,Survival Horror,First-Person,Action,Exploration,Sandbox,Atmospheric,Singleplayer,Simulation,Gore,Realistic,Indie,Early Access,Zombies"
Unholy,https://store.steampowered.com/app/817020/Unholy,"Adventure,Female Protagonist,Atmospheric,Singleplayer,Puzzle,First-Person,Stealth,Dark,Violent,Gore,Walking Simulator,Realistic,Psychological Horror,Mystery,Soundtrack,Exploration,Horror,Survival,Mature,Relaxing"
Limbus Company,https://store.steampowered.com/app/1973530/Limbus_Company,"Lore-Rich,RPG,Story Rich,Turn-Based Tactics,Strategy RPG,Turn-Based Combat,Strategy,Anime,Singleplayer,Visual Novel,PvE,Action,Turn-Based Strategy,2D,Dark Fantasy,Free to Play,Roguelite,Sci-fi,Colorful,Cartoon"
UNDECEMBER,https://store.steampowered.com/app/1549250/UNDECEMBER,"RPG,Hack and Slash,Multiplayer,Action RPG,Action,Free to Play,Dark Fantasy,Top-Down,Online Co-Op,Co-op,Third Person,Fantasy,Singleplayer,Loot,PvE,Cinematic,Character Customization,PvP,Realistic,Isometric"
Don't Starve Together,https://store.steampowered.com/app/322330/Dont_Starve_Together,"Survival,Open World Survival Craft,Multiplayer,Co-op,Open World,Adventure,Crafting,Online Co-Op,Sandbox,Difficult,Indie,2D,Atmospheric,Funny,Survival Horror,Strategy,Horror,Singleplayer,Action,Roguelike"
Project Zomboid,https://store.steampowered.com/app/108600/Project_Zomboid,"Survival,Zombies,Open World,Open World Survival Craft,Multiplayer,Sandbox,Post-apocalyptic,Co-op,Crafting,Indie,Simulation,Building,RPG,Survival Horror,Realistic,Isometric,Singleplayer,2D,Early Access,Adventure"
War Robots,https://store.steampowered.com/app/767560/War_Robots,"Free to Play,Action,Robots,Multiplayer,Shooter,Mechs,FPS,PvP,Massively Multiplayer,Controller,War,First-Person,Third-Person Shooter,Third Person,Co-op,Strategy,Singleplayer,MMORPG,RPG,VR"
eFootball™ 2023,https://store.steampowered.com/app/1665460/eFootball_2023,"Football (Soccer),Free to Play,Sports,Multiplayer,eSports,Simulation,Controller,PvP,Local Multiplayer,Co-op,Online Co-Op,Local Co-Op,Singleplayer,Realistic,Comedy,Memes,Violent,LGBTQ+,Anime,Funny"
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die,"Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Action,Procedural Generation,Early Access"
Crusader Kings III,https://store.steampowered.com/app/1158310/Crusader_Kings_III,"Strategy,Simulation,RPG,Grand Strategy,Medieval,Historical,Management,RTS,Character Customization,Life Sim,4X,Singleplayer,Sandbox,Choices Matter,War,Economy,Moddable,Political,Multiplayer,Real-Time with Pause"
Divinity: Original Sin 2 - Definitive Edition,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition,"Tactical RPG,RPG,Turn-Based Strategy,Story Rich,Exploration,Fantasy,CRPG,Party-Based RPG,Character Customization,Strategy RPG,PvP,Female Protagonist,Co-op Campaign,Local Co-Op,Isometric,Choices Matter,Romance,Strategy,Moddable,Funny"
Hearts of Iron IV,https://store.steampowered.com/app/394360/Hearts_of_Iron_IV,"Strategy,World War II,Grand Strategy,War,Historical,Military,Alternate History,Multiplayer,Simulation,Tactical,Real-Time with Pause,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Competitive,Strategy RPG,Open World,Action"
Russian Fishing 4,https://store.steampowered.com/app/766570/Russian_Fishing_4,"Fishing,Free to Play,Simulation,Multiplayer,Nature,Realistic,Immersive Sim,Crafting,Relaxing,First-Person,Sports,Atmospheric,Singleplayer,Open World,Survival,Massively Multiplayer,Casual,Adventure,RPG,Family Friendly"
Factorio,https://store.steampowered.com/app/427520/Factorio,"Automation,Base Building,Resource Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open World,Building,Co-op,2D,Moddable,Singleplayer,Trains,Simulation,Pixel Graphics,City Builder,Indie"
Summoners War: Chronicles,https://store.steampowered.com/app/2167580/Summoners_War_Chronicles,"RPG,Free to Play,MMORPG,Adventure,Action,Action-Adventure,Strategy RPG,JRPG,3D,Cinematic,Atmospheric,PvE,Co-op,Party-Based RPG,Multiplayer,PvP,Fantasy,Online Co-Op,Strategy,Exploration"
Mount & Blade II: Bannerlord,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord,"Medieval,Strategy,Open World,RPG,War,Sandbox,Multiplayer,Singleplayer,Action,Character Customization,Simulation,Moddable,Adventure,Horses,Realistic,Third Person,First-Person,Historical,Great Soundtrack,Early Access"
Brotato,https://store.steampowered.com/app/1942280/Brotato,"Action Roguelike,Roguelite,Bullet Hell,Arena Shooter,Top-Down Shooter,2D,Casual,RPG,Top-Down,Action,Post-apocalyptic,Procedural Generation,Hand-drawn,Funny,Aliens,Cartoony,Controller,Combat,Perma Death,Cute"
Path of Exile,https://store.steampowered.com/app/238960/Path_of_Exile,"Free to Play,Action RPG,Hack and Slash,RPG,Multiplayer,Loot,Dungeon Crawler,Massively Multiplayer,Character Customization,Inventory Management,MMORPG,Action,Fantasy,Isometric,Adventure,Singleplayer,Online Co-Op,PvP,Co-op,Horror"
Risk of Rain 2,https://store.steampowered.com/app/632360/Risk_of_Rain_2,"Third-Person Shooter,Action Roguelike,Multiplayer,Action,Co-op,Roguelite,Looter Shooter,Roguelike,Loot,Online Co-Op,Shooter,Difficult,Third Person,Indie,Survival,Singleplayer,Great Soundtrack,Soundtrack,Early Access,Bullet Hell"
Stray,https://store.steampowered.com/app/1332010/Stray,"Cats,Adventure,Cyberpunk,Atmospheric,Cute,Singleplayer,Exploration,Robots,Third Person,Beautiful,Puzzle,Horror,Sci-fi,Indie,Dystopian,Open World,Mystery,Colorful,Action,Stealth"
Lakeburg Legacies,https://store.steampowered.com/app/1584940/Lakeburg_Legacies,"Management,Strategy,Medieval,Dating Sim,Procedural Generation,Resource Management,RPG,LGBTQ+,2D,Choices Matter,Drama,Singleplayer,Cute,Funny,Romance,Family Friendly,Simulation,Comedy,Life Sim"
MudRunner,https://store.steampowered.com/app/675010/MudRunner,"Offroad,Simulation,Automobile Sim,Driving,Multiplayer,Realistic,Open World,Physics,Co-op,Online Co-Op,Mod,Moddable,Singleplayer,Racing,Sandbox,Exploration,Atmospheric,Adventure,First-Person,Third Person"
City Car Driving,https://store.steampowered.com/app/493490/City_Car_Driving,"Simulation,Driving,Automobile Sim,Survival Horror,Open World,Realistic,Multiplayer,Singleplayer,Racing,First-Person,VR,Moddable,Physics,Indie,Family Friendly,Psychological Horror,Education,Adventure,Casual,Horror"
Medieval Dynasty,https://store.steampowered.com/app/1129580/Medieval_Dynasty,"Survival,Building,Open World,Medieval,Singleplayer,RPG,City Builder,Crafting,Simulation,Colony Sim,Sandbox,Adventure,Resource Management,Realistic,First-Person,Exploration,Historical,Action,Co-op,Early Access"
Tower of Fantasy,https://store.steampowered.com/app/2064650/Tower_of_Fantasy,"MMORPG,RPG,Anime,Action,Open World,Action-Adventure,Action RPG,3D Platformer,Cinematic,Cartoony,Drama,Sci-fi,Post-apocalyptic,Futuristic,Cyberpunk,Free to Play,Massively Multiplayer,Character Customization,Story Rich,Bullet Time"
Warface,https://store.steampowered.com/app/291480/Warface,"Free to Play,FPS,Realistic,Multiplayer,Shooter,Action,PvP,Co-op,Gun Customization,Character Customization,First-Person,Online Co-Op,Tactical,Strategy,Massively Multiplayer,Military,Team-Based,Adventure,Moddable,Class-Based"
Aliens: Dark Descent,https://store.steampowered.com/app/1150440/Aliens_Dark_Descent,"Strategy,Action,Tactical,RTS,Sci-fi,Action-Adventure,Singleplayer,Dark,3D,Space,Survival,Aliens,Horror,Violent,Real Time Tactics,Combat,Top-Down,Stealth,Isometric,Multiplayer"
Plague Inc: Evolved,https://store.steampowered.com/app/246620/Plague_Inc_Evolved,"Strategy,Simulation,Outbreak Sim,Indie,Singleplayer,Multiplayer,Zombies,Casual,Tactical,Replay Value,Post-apocalyptic,Addictive,Realistic,2D,Difficult,Atmospheric,Co-op,Early Access,Sandbox,Survival"
Hades,https://store.steampowered.com/app/1145360/Hades,"Action Roguelike,Hack and Slash,Roguelite,Indie,Action,Mythology,Roguelike,RPG,Great Soundtrack,Singleplayer,Story Rich,Dungeon Crawler,Replay Value,Isometric,Difficult,Action RPG,Hand-drawn,Atmospheric,Perma Death,Souls-like"
Farming Simulator 22,https://store.steampowered.com/app/1248130/Farming_Simulator_22,"Simulation,Co-op,Farming Sim,Agriculture,Moddable,Management,Multiplayer,Sandbox,3D,First-Person,Immersive Sim,Online Co-Op,Economy,Character Customization,Family Friendly,Open World,Third Person,Nature,Horses,America"
Doomsday: Last Survivors,https://store.steampowered.com/app/2439510/Doomsday_Last_Survivors,"Strategy,4X,Strategy RPG,Real Time Tactics,Wargame,Massively Multiplayer,2D,Zombies,Futuristic,Survival,Story Rich,RPG,Violent,Base Building,PvP,Co-op"
The Beast Inside,https://store.steampowered.com/app/792300/The_Beast_Inside,"Horror,Adventure,Action,Survival Horror,Multiplayer,Singleplayer,First-Person,Indie,Survival,Story Rich,Psychological Horror,Violent,Atmospheric,Gore,Walking Simulator,Exploration,Open World,Realistic,Great Soundtrack,Co-op"
Super Bunny Man,https://store.steampowered.com/app/673750/Super_Bunny_Man,"Multiplayer,Funny,Co-op,Physics,Comedy,Puzzle Platformer,Casual,Online Co-Op,Party,Colorful,Local Co-Op,Action,Puzzle,Cartoon,Local Multiplayer,Adventure,Memes,Singleplayer,4 Player Local,Sandbox"
Heavy Rain,https://store.steampowered.com/app/960910/Heavy_Rain,"Choices Matter,Story Rich,Multiple Endings,Narration,Adventure,Cinematic,Detective,Thriller,Emotional,Investigation,Interactive Fiction,Quick-Time Events,Dynamic Narration,Mystery,Singleplayer,Crime,Sexual Content,Atmospheric,Violent,Nudity"
Left 4 Dead 2,https://store.steampowered.com/app/550/Left_4_Dead_2,"Zombies,Co-op,FPS,Multiplayer,Shooter,Online Co-Op,Action,Survival,Horror,First-Person,Gore,Team-Based,Moddable,Survival Horror,Post-apocalyptic,Singleplayer,Adventure,Local Co-Op,Replay Value,Tactical"
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved,"Open World Survival Craft,Survival,Multiplayer,Open World,Dinosaurs,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Massively Multiplayer,Singleplayer,Early Access,RPG,Dragons,Sci-fi,Indie"
Pummel Party,https://store.steampowered.com/app/880940/Pummel_Party,"Multiplayer,Funny,Online Co-Op,4 Player Local,Board Game,Party Game,Casual,Local Multiplayer,Co-op,Minigames,Party,Local Co-Op,Action,Indie,Comedy,Tabletop,Controller,Gore,Colorful,Singleplayer"
Satisfactory,https://store.steampowered.com/app/526870/Satisfactory,"Base Building,Automation,Open World,Multiplayer,Crafting,Co-op,Resource Management,Building,Sandbox,Exploration,Adventure,Early Access,Open World Survival Craft,Simulation,Survival,Strategy,First-Person,Sci-fi,Singleplayer,Indie"
